iso3c,country,income,hale_0,ghe_0,gdppc_0,year_0,hale_T,ghe_T,gdppc_T,year_T,d_hale,d_ghe,span
CYP,Cyprus,High income,67.5188145818464,2.18027377,9.57417430681326,2000,69.0005478062609,7.10785913,10.4310065401018,2022,1.48,4.93,22
DEU,Germany,High income,67.3862610720762,7.73281384,10.0827149937459,2000,68.8116025665226,10.12543774,10.8134808060174,2022,1.43,2.39,22
NRU,Nauru,High income,50.4022878636328,16.6683979,7.88178705463133,2000,51.8153010035151,15.79036999,9.46470612614078,2022,1.41,-0.88,22
MHL,Marshall Islands,Upper middle income,54.5477740167123,8.19225311,7.7252378257083,2000,55.944993856938,4.41693401,8.75192194319339,2022,1.4,-3.78,22
ATG,Antigua and Barbuda,High income,64.5201974203596,2.72769094,9.39495055593247,2000,65.8361870164385,3.28934598,9.90873371276746,2022,1.32,0.56,22
MCO,Monaco,High income,67.3801668003277,2.95726943,11.3118982917272,2000,68.6830145177474,2.94431448,12.3285203487119,2022,1.3,-0.01,22
SWE,Sweden,High income,69.4898292723406,6.18943739,10.2966362443594,2000,70.7722993047856,9.02388191,10.9204727998509,2022,1.28,2.83,22
PER,Peru,Upper middle income,65.4021128958255,2.34087849,7.57322977049648,2000,66.6483395377606,3.91110182,8.90254134948257,2022,1.25,1.57,22
TTO,Trinidad and Tobago,High income,59.6886195742599,1.56699646,8.72884532952408,2000,60.9409574970864,2.86555815,9.94627769677765,2022,1.25,1.3,22
AND,Andorra,High income,69.8946960556535,3.88115096,9.99013526413483,2000,71.07944104243,5.53698158,10.6552351666654,2022,1.18,1.66,22
ARG,Argentina,Upper middle income,64.5216284215545,4.49895144,8.94076208487159,2000,65.679121498721,5.7569623,9.5422078164399,2022,1.16,1.26,22
GBR,United Kingdom,High income,67.2741417057586,5.42484713,10.2499428912592,2000,68.3274667987498,9.17955971,10.7377651171618,2022,1.05,3.75,22
ISL,Iceland,High income,69.0556571826365,7.18854856,10.3764982890671,2000,70.0582423260603,7.86343193,11.2268556285414,2022,1,0.67,22
BIH,Bosnia and Herzegovina,Upper middle income,64.6529430993689,4.08413935,7.19929036630144,2000,65.5623754008528,5.73453379,8.94319192888638,2022,0.91,1.65,22
GRC,Greece,High income,67.8680649119011,4.46309471,9.36204816206698,2000,68.6703028511654,4.59715986,9.95093562249171,2022,0.8,0.13,22
URY,Uruguay,High income,64.8749243282221,3.81055403,8.85190688093699,2000,65.5739037633154,6.32145834,9.94360279860601,2022,0.7,2.51,22
SAU,Saudi Arabia,High income,62.5785448609716,3.03456283,9.36858799365137,2000,63.2527639231705,3.61828327,10.5586791374927,2022,0.67,0.58,22
MUS,Mauritius,Upper middle income,62.712242758179,1.52947044,8.28953532401675,2000,63.359946077995,2.74634552,9.23247246353674,2022,0.65,1.22,22
